מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
42,בוסל 5,60,2022,2300000,6428-60-12,דירה בבית,3,38333
44,ברנר 6,53.72,2022,2225000,6428-40-7,דירה בבית,3,41418
45,המעפילים 4,74,2022,2320000,6428-348-10,דירה בבית,3,31351
46,ברנר 3,104.9,2022,3200000,6428-695-5,דירה בבית,4,30505
47,ברנר 14,77,2022,2300000,6428-421-7,דירה בבית,4,29870
48,המעפילים 4,74,2022,2220000,6428-348-7,דירה בבית,3,30000
49,בילינסון 3,88,2022,2640000,6428-47-9,דירה בבית,4,30000
50,0,130,2022,2500000,6428-63-8,דירה בבית,5,19231
51,ויצמן 37,91.79,2022,2300000,6428-653-12,דירה בבית,4,25057
52,ויצמן 51,112.99,2022,2600000,6428-618-8,דירה בבית,4,23011
54,ברל כצנלסון 11,215,2022,5800000,6428-221-1,דירה בבית,6,26977
55,ברל כצנלסון 11,163,2022,4300000,6428-221-2,דירה בבית,5,26380
56,גולומב 34,152,2022,5300000,6428-422-28,דירה בבית,5,34868
58,המעפילים 2,81.91,2022,1950000,6428-344-12,דירה בבית,3,23807
59,בילינסון 9,121.3,2022,3550000,6428-705-12,דירה בבית,5,29266
60,המעפילים 6,110.74,2022,2630000,6428-671-7,דירה בבית,4,23749
61,המעפילים 6,81.64,2022,2120000,6428-671-9,דירה בבית,3,25968
62,גולומב 22,108.88,2022,2580000,6428-672-8,דירת גן,4,23696
